PHOENIX module padd; 10/31/16 at 13:23:38 -07:00
energy (meV),normalization function
-6.82200E+01, 9.74648E-01
-6.79700E+01, 9.75898E-01
-6.77200E+01, 9.75787E-01
-6.74700E+01, 9.75645E-01
-6.72500E+01, 9.75803E-01
-6.70000E+01, 9.76057E-01
-6.67500E+01, 9.76152E-01
-6.65000E+01, 9.75233E-01
-6.62400E+01, 9.74284E-01
-6.59900E+01, 9.74174E-01
-6.57400E+01, 9.74158E-01
-6.54900E+01, 9.74885E-01
-6.52400E+01, 9.75470E-01
-6.49900E+01, 9.76691E-01
-6.47300E+01, 9.75946E-01
-6.44800E+01, 9.74806E-01
-6.42300E+01, 9.77422E-01
-6.39800E+01, 9.76485E-01
-6.37300E+01, 9.76929E-01
-6.34800E+01, 9.74126E-01
-6.32200E+01, 9.75914E-01
-6.29700E+01, 9.76659E-01
-6.27200E+01, 9.76612E-01
-6.24700E+01, 9.76850E-01
-6.22200E+01, 9.76088E-01
-6.20000E+01, 9.75946E-01
-6.17500E+01, 9.75391E-01
-6.15000E+01, 9.75075E-01
-6.12500E+01, 9.74442E-01
-6.09900E+01, 9.74047E-01
-6.07400E+01, 9.73795E-01
-6.04900E+01, 9.74300E-01
-6.02400E+01, 9.74158E-01
-5.99900E+01, 9.73732E-01
-5.97400E+01, 9.73669E-01
-5.94800E+01, 9.73322E-01
-5.92300E+01, 9.74000E-01
-5.89800E+01, 9.73590E-01
-5.87300E+01, 9.72424E-01
-5.84800E+01, 9.71669E-01
-5.82200E+01, 9.71308E-01
-5.79700E+01, 9.73527E-01
-5.77200E+01, 9.74600E-01
-5.74700E+01, 9.74980E-01
-5.72200E+01, 9.74901E-01
-5.70000E+01, 9.75882E-01
-5.67500E+01, 9.76834E-01
-5.65000E+01, 9.77215E-01
-5.62500E+01, 9.76532E-01
-5.59900E+01, 9.75787E-01
-5.57400E+01, 9.75455E-01
-5.54900E+01, 9.75360E-01
-5.52400E+01, 9.75455E-01
-5.49900E+01, 9.75866E-01
-5.47400E+01, 9.75740E-01
-5.44800E+01, 9.75835E-01
-5.42300E+01, 9.75724E-01
-5.39800E+01, 9.76390E-01
-5.37300E+01, 9.76771E-01
-5.34800E+01, 9.76866E-01
-5.32300E+01, 9.76691E-01
-5.29700E+01, 9.76310E-01
-5.27200E+01, 9.76072E-01
-5.24700E+01, 9.75692E-01
-5.22200E+01, 9.75819E-01
-5.19700E+01, 9.75360E-01
-5.17500E+01, 9.75518E-01
-5.15000E+01, 9.75534E-01
-5.12500E+01, 9.76199E-01
-5.10000E+01, 9.76437E-01
-5.07400E+01, 9.76501E-01
-5.04900E+01, 9.75771E-01
-5.02400E+01, 9.75122E-01
-4.99900E+01, 9.75375E-01
-4.97400E+01, 9.75154E-01
-4.94900E+01, 9.74695E-01
-4.92300E+01, 9.73747E-01
-4.89800E+01, 9.74616E-01
-4.87300E+01, 9.75280E-01
-4.84800E+01, 9.75803E-01
-4.82300E+01, 9.75502E-01
