PHOENIX module padd; 10/31/16 at 13:23:38 -07:00
energy (meV),shifted spectra
 2.23382E+01, 6.20420E+00
 2.25882E+01, 8.04930E+00
 2.28382E+01, 4.11401E+00
 2.30882E+01, 5.23816E+00
 2.33382E+01, 6.11182E+00
 2.35882E+01, 4.14740E+00
 2.38382E+01, 7.28601E+00
 2.40882E+01, 7.30887E+00
 2.43382E+01, 4.16638E+00
 2.45882E+01, 6.26426E+00
 2.48382E+01, 9.23669E+00
 2.50882E+01, 1.33214E+01
 2.53382E+01, 1.65055E+01
 2.55882E+01, 6.55269E+00
 2.58382E+01, 9.20283E+00
 2.60882E+01, 8.20819E+00
 2.63382E+01, 7.98960E+00
 2.65882E+01, 6.22525E+00
 2.68382E+01, 8.57137E+00
 2.70882E+01, 1.12585E+01
 2.73382E+01, 8.19381E+00
 2.75882E+01, 7.28350E+00
 2.78382E+01, 8.32568E+00
 2.80882E+01, 8.42770E+00
 2.83382E+01, 1.04614E+01
 2.85882E+01, 9.40259E+00
 2.88382E+01, 4.18271E+00
 2.90882E+01, 5.24522E+00
 2.93382E+01, 5.25373E+00
 2.95882E+01, 7.36987E+00
 2.98382E+01, 1.05409E+01
 3.00882E+01, 8.52439E+00
 3.03382E+01, 6.33685E+00
 3.05882E+01, 5.21090E+00
 3.08382E+01, 5.20746E+00
 3.10882E+01, 1.97733E+00
 3.13382E+01, 3.62592E+00
 3.15882E+01, 7.87509E+00
 3.18382E+01, 3.46462E+00
 3.20882E+01, 8.20679E+00
 3.23382E+01, 6.34186E+00
 3.25882E+01, 8.13668E+00
 3.28382E+01, 4.31741E+00
 3.30882E+01, 9.77783E+00
 3.33382E+01, 1.34126E+01
 3.35882E+01, 5.32106E+00
 3.38382E+01, 7.40978E+00
 3.40882E+01, 4.23470E+00
 3.43382E+01, 3.16604E+00
 3.45882E+01, 8.51750E+00
 3.48382E+01, 1.06720E+01
 3.50882E+01, 3.20151E+00
 3.53382E+01, 2.07287E+00
 3.55882E+01, 4.15455E+00
 3.58382E+01, 7.41164E+00
 3.60882E+01, 5.61843E+00
 3.63382E+01, 8.54514E+00
 3.65882E+01, 6.42912E+00
 3.68382E+01, 5.21920E+00
 3.70882E+01, 3.33260E+00
 3.73382E+01, 4.14072E+00
 3.75882E+01, 2.34102E+00
 3.78382E+01, 5.26379E+00
 3.80882E+01, 1.45953E-01
 3.83382E+01, 5.46471E+00
 3.85882E+01, 4.64344E+00
 3.88382E+01, 8.91673E+00
 3.90882E+01, 3.33832E+00
 3.93382E+01, 4.46073E+00
 3.95882E+01, 4.45319E+00
 3.98382E+01, 8.93328E+00
 4.00882E+01, 4.43894E+00
 4.03382E+01, 6.58034E+00
 4.05882E+01, 5.60942E+00
 4.08382E+01, 5.48279E+00
 4.10882E+01, 6.57276E+00
 4.13382E+01, 2.44621E+00
 4.15882E+01, 6.45057E+00
 4.18382E+01, 4.31442E+00
 4.20882E+01, 4.34861E+00
 4.23382E+01, 4.47961E+00
 4.25882E+01, 5.38069E+00
 4.28382E+01, 3.13526E+00
 4.30882E+01, 2.46567E+00
 4.33382E+01, 8.68319E+00
 4.35882E+01, 4.21030E+00
 4.38382E+01, 9.89606E-01
 4.40882E+01, 1.08078E+00
 4.43382E+01, 6.66343E+00
 4.45882E+01, 2.19328E+00
 4.48382E+01, 4.44901E+00
 4.50882E+01, 2.20942E+00
 4.53382E+01, 3.34036E+00
 4.55882E+01, 4.43121E+00
 4.58382E+01, 4.43281E+00
 4.60882E+01, 8.82634E+00
 4.63382E+01, 6.85419E+00
 4.65882E+01, 4.56058E+00
 4.68382E+01, 6.58313E+00
 4.70882E+01, 5.43195E+00
 4.73382E+01, 4.03946E+00
 4.75882E+01, 1.26712E+00
 4.78382E+01, 4.44508E+00
 4.80882E+01, 4.35773E+00
 4.83382E+01, 3.38325E+00
 4.85882E+01, 5.59811E+00
 4.88382E+01, 5.46715E+00
 4.90882E+01, 3.24864E+00
 4.93382E+01, 2.20409E+00
 4.95882E+01, 3.34419E+00
 4.98382E+01, 3.35468E+00
 5.00882E+01, 4.50206E+00
 5.03382E+01, 1.09666E+00
 5.05882E+01, 1.44355E-03
 5.08382E+01, 3.27642E+00
 5.10882E+01, 1.15389E-01
 5.13382E+01, 1.03349E+00
 5.15882E+01,-3.98392E-02
 5.18382E+01, 2.73820E-01
 5.20882E+01, 3.20710E+00
 5.23382E+01, 1.13623E+00
 5.25882E+01, 2.26892E+00
 5.28382E+01, 1.99403E+00
 5.30882E+01, 4.40735E-02
 5.33382E+01, 2.18156E+00
 5.35882E+01, 1.08346E+00
 5.38382E+01, 1.02133E+00
 5.40882E+01, 2.57984E-02
 5.43382E+01, 2.23221E+00
 5.45882E+01, 3.38936E+00
 5.48382E+01,-4.20540E-02
 5.50882E+01,-4.31531E-02
 5.53382E+01,-4.28719E-02
 5.55882E+01, 1.10568E+00
 5.58382E+01,-2.77015E-03
 5.60882E+01, 1.05372E+00
 5.63382E+01, 1.13107E+00
 5.65882E+01,-9.25763E-04
 5.68382E+01, 1.00451E+00
 5.70882E+01, 1.57376E-01
 5.73382E+01, 2.10932E+00
 5.75882E+01,-4.30869E-02
 5.78382E+01, 6.62741E-02
 5.80882E+01, 1.04968E+00
 5.83382E+01, 5.86056E-03
 5.85882E+01, 1.11386E+00
 5.88382E+01, 1.04891E+00
 5.90882E+01,-4.38854E-02
 5.93382E+01,-4.36739E-02
 5.95882E+01,-4.57296E-02
 5.98382E+01, 1.10221E+00
 6.00882E+01,-4.56423E-02
 6.03382E+01,-4.67566E-02
 6.05882E+01,-4.86353E-02
 6.08382E+01, 2.27922E+00
 6.10882E+01, 2.32630E+00
 6.13382E+01, 3.21270E-02
 6.15882E+01, 1.05213E+00
 6.18382E+01, 1.14339E+00
 6.20882E+01, 1.00851E+00
 6.23382E+01, 4.13184E-02
 6.25882E+01, 1.05219E+00
 6.28382E+01,-5.43482E-02
 6.30882E+01,-5.60903E-02
 6.33382E+01, 1.43008E-03
 6.35882E+01, 1.10337E+00
 6.38382E+01,-6.15552E-02
 6.40882E+01,-6.50658E-02
 6.43382E+01,-6.76015E-02
 6.45882E+01,-6.80057E-02
 6.48382E+01,-6.53861E-02
 6.50882E+01,-6.53595E-02
 6.53382E+01,-6.59011E-02
 6.55882E+01, 2.39174E+00
 6.58382E+01,-6.85340E-02
 6.60882E+01,-6.96214E-02
 6.63382E+01,-6.97172E-02
 6.65882E+01, 1.12874E+00
 6.68382E+01,-2.23651E-02
 6.70882E+01, 1.07619E+00
 6.73382E+01, 2.62293E-02
 6.75882E+01, 1.08825E+00
 6.78382E+01,-6.58448E-02
 6.80882E+01,-6.46802E-02
 6.83382E+01,-6.46896E-02
 6.85882E+01,-6.68574E-02
 6.88382E+01,-1.75753E-02
 6.90882E+01, 1.10747E+00
 6.93382E+01,-1.71035E-02
 6.95882E+01, 1.23885E+00
 6.98382E+01, 2.38102E+00
 7.00882E+01,-6.75983E-02
 7.03382E+01,-6.90940E-02
 7.05882E+01,-6.86783E-02
 7.08382E+01, 1.16455E+00
 7.10882E+01,-7.00737E-02
 7.13382E+01, 1.12776E+00
 7.15882E+01,-2.72403E-02
 7.18382E+01, 2.36713E+00
 7.20882E+01,-7.91776E-02
 7.23382E+01,-8.00615E-02
 7.25882E+01, 1.97951E-02
 7.28382E+01, 1.23028E+00
 7.30882E+01, 1.05831E+00
 7.33382E+01, 2.14748E-02
 7.35882E+01, 1.13018E+00
 7.38382E+01,-7.05325E-02
 7.40882E+01,-6.92758E-02
 7.43382E+01,-6.86513E-02
 7.45882E+01,-6.89268E-02
 7.48382E+01,-7.03247E-02
 7.50882E+01,-7.00010E-02
 7.53382E+01, 2.40039E+00
 7.55882E+01,-7.16998E-02
 7.58382E+01, 1.17823E+00
 7.60882E+01, 2.44501E+00
 7.63382E+01, 2.99053E-02
 7.65882E+01,-7.90309E-02
 7.68382E+01,-8.02842E-02
 7.70882E+01,-8.04574E-02
 7.73382E+01, 1.18693E-01
 7.75882E+01, 2.51217E+00
 7.78382E+01, 2.52033E+00
 7.80882E+01, 2.25772E+00
 7.83382E+01,-7.85124E-02
 7.85882E+01, 1.63099E-01
 7.88382E+01, 2.34680E+00
 7.90882E+01,-7.30432E-02
 7.93382E+01,-7.23587E-02
 7.95882E+01,-7.25697E-02
 7.98382E+01,-7.40215E-02
 8.00882E+01,-7.38965E-02
 8.03382E+01, 1.18140E+00
 8.05882E+01,-7.85589E-02
 8.08382E+01,-8.07173E-02

-7.89646E+01, 7.53692E-03
-7.87146E+01, 9.82574E-01
-7.84646E+01, 6.86876E-03
-7.82146E+01, 6.81155E-03
-7.79646E+01, 6.60049E-03
-7.77146E+01, 9.54788E-01
-7.74646E+01, 4.57166E-02
-7.72146E+01, 9.26787E-01
-7.69646E+01, 1.95630E+00
-7.67146E+01, 6.52269E-03
-7.64646E+01, 6.55178E-03
-7.62146E+01, 6.50219E-03
-7.59646E+01, 6.26150E-03
-7.57146E+01, 6.18174E-03
-7.54646E+01, 4.54555E-02
-7.52146E+01, 1.00331E+00
-7.49646E+01, 9.44969E-01
-7.47146E+01, 6.90974E-03
-7.44646E+01, 5.42065E-02
-7.42146E+01, 9.83217E-01
-7.39646E+01, 7.20679E-03
-7.37146E+01, 6.97835E-03
-7.34646E+01, 6.65412E-03
-7.32146E+01, 9.84362E-01
-7.29646E+01, 5.41134E-02
-7.27146E+01, 7.46522E-03
-7.24646E+01, 7.31840E-03
-7.22146E+01, 9.43367E-01
-7.19646E+01, 1.00340E+00
-7.17146E+01, 7.67208E-03
-7.14646E+01, 7.57022E-03
-7.12146E+01, 1.03548E-01
-7.09646E+01, 9.22525E-01
-7.07146E+01, 7.78653E-03
-7.04646E+01, 7.91837E-03
-7.02146E+01, 5.64145E-02
-6.99646E+01, 9.42318E-01
-6.97146E+01, 4.62605E-02
-6.94646E+01, 9.53428E-01
-6.92146E+01, 7.91364E-03
-6.89646E+01, 7.90891E-03
-6.87146E+01, 8.15952E-03
-6.84646E+01, 8.53700E-03
-6.82146E+01, 8.37669E-03
-6.79646E+01, 9.80950E-01
-6.77146E+01, 5.47428E-02
-6.74646E+01, 7.61253E-03
-6.72146E+01, 1.89971E+00
-6.69646E+01, 1.04068E-01
-6.67146E+01, 7.30491E-03
-6.64646E+01, 1.02150E-01
-6.62146E+01, 9.05162E-01
-6.59646E+01, 6.68948E-02
-6.57146E+01, 1.01931E+00
-6.54646E+01, 9.33488E-01
-6.52146E+01, 3.73567E-02
-6.49646E+01, 1.00064E+00
-6.47146E+01, 9.34049E-01
-6.44646E+01, 4.57043E-02
-6.42146E+01, 9.55696E-01
-6.39646E+01, 7.21630E-03
-6.37146E+01, 7.55827E-03
-6.34646E+01, 6.77340E-03
-6.32146E+01, 7.05454E-03
-6.29646E+01, 1.96078E+00
-6.27146E+01, 7.76212E-03
-6.24646E+01, 9.36048E-01
-6.22146E+01, 5.46907E-02
-6.19646E+01, 7.01588E-03
-6.17146E+01, 9.44729E-01
-6.14646E+01, 9.92661E-01
-6.12146E+01, 9.83133E-01
-6.09646E+01, 9.82757E-01
-6.07146E+01, 9.99413E-01
-6.04646E+01, 9.07152E-01
-6.02146E+01, 7.78884E-03
-5.99646E+01, 7.85583E-03
-5.97146E+01, 7.70902E-03
-5.94646E+01, 7.75799E-03
-5.92146E+01, 7.88127E-03
-5.89646E+01, 5.48834E-02
-5.87146E+01, 9.81325E-01
-5.84646E+01, 7.80002E-03
-5.82146E+01, 9.81513E-01
-5.79646E+01, 8.27287E-03
-5.77146E+01, 8.49930E-03
-5.74646E+01, 9.52085E-01
-5.72146E+01, 4.60760E-02
-5.69646E+01, 9.43275E-01
-5.67146E+01, 4.64884E-02
-5.64646E+01, 9.45991E-01
-5.62146E+01, 7.21247E-03
-5.59646E+01, 6.94062E-03
-5.57146E+01, 1.01554E-01
-5.54646E+01, 9.26856E-01
-5.52146E+01, 7.26783E-03
-5.49646E+01, 7.36601E-03
-5.47146E+01, 7.39099E-03
-5.44646E+01, 4.63939E-02
-5.42146E+01, 1.00130E+00
-5.39646E+01, 9.26355E-01
-5.37146E+01, 7.24958E-03
-5.34646E+01, 1.95873E+00
-5.32146E+01, 9.83473E-01
-5.29646E+01, 1.96051E+00
-5.27146E+01, 9.83806E-01
-5.24646E+01, 9.83684E-01
-5.22146E+01, 4.46656E-02
-5.19646E+01, 7.17540E-03
-5.17146E+01, 9.53320E-01
-5.14646E+01, 4.62865E-02
-5.12146E+01, 9.46283E-01
-5.09646E+01, 2.70192E-01
-5.07146E+01, 2.71771E+00
-5.04646E+01, 1.42680E-01
-5.02146E+01, 1.84648E+00
-4.99646E+01, 7.05853E-03
-4.97146E+01, 1.04011E-01
-4.94646E+01, 1.89842E+00
-4.92146E+01, 7.39004E-03
-4.89646E+01, 7.45741E-03
-4.87146E+01, 7.60631E-03
-4.84646E+01, 7.87578E-03
-4.82146E+01, 7.61519E-03
-4.79646E+01, 9.82696E-01
-4.77146E+01, 7.25909E-03
-4.74646E+01, 1.95835E+00
