@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 10/31/16 at 12:49:49 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "data without elastic peak"
@s0 errorbar size 0.0
@type xydy
  1.86151E+01  7.73130E+01  9.02964E+00
  1.88643E+01  8.27806E+01  9.33213E+00
  1.91135E+01  8.47059E+01  9.43688E+00
  1.93627E+01  9.53216E+01  9.99157E+00
  1.96119E+01  9.47146E+01  9.96155E+00
  1.98610E+01  7.63063E+01  8.97676E+00
  2.01102E+01  7.53860E+01  8.92548E+00
  2.03594E+01  8.54702E+01  9.48187E+00
  2.06086E+01  1.00783E+02  1.02693E+01
  2.08578E+01  1.03316E+02  1.03946E+01
  2.11070E+01  1.03414E+02  1.04002E+01
  2.13561E+01  1.00107E+02  1.02385E+01
  2.16053E+01  1.08604E+02  1.06523E+01
  2.18545E+01  1.03502E+02  1.04072E+01
  2.21037E+01  9.63242E+01  1.00518E+01
  2.23529E+01  1.02887E+02  1.03790E+01
  2.26021E+01  1.01612E+02  1.03172E+01
  2.28512E+01  1.05518E+02  1.05087E+01
  2.31004E+01  1.02213E+02  1.03486E+01
  2.33496E+01  9.97408E+01  1.02274E+01
  2.35988E+01  1.07842E+02  1.06233E+01
  2.38480E+01  1.25454E+02  1.14361E+01
  2.40972E+01  1.44702E+02  1.22631E+01
  2.43463E+01  1.32746E+02  1.17578E+01
  2.45955E+01  1.28513E+02  1.15744E+01
  2.48447E+01  1.43710E+02  1.22251E+01
  2.50939E+01  1.67299E+02  1.31716E+01
  2.53431E+01  1.55522E+02  1.27095E+01
  2.55923E+01  1.58099E+02  1.28134E+01
  2.58414E+01  1.63248E+02  1.30175E+01
  2.60906E+01  1.70930E+02  1.33158E+01
  2.63398E+01  1.67265E+02  1.31760E+01
  2.65890E+01  1.86741E+02  1.39098E+01
  2.68382E+01  2.15927E+02  1.49419E+01
  2.70874E+01  2.09658E+02  1.47279E+01
  2.73365E+01  2.16708E+02  1.49712E+01
  2.75857E+01  2.21129E+02  1.51223E+01
  2.78349E+01  2.36790E+02  1.56428E+01
  2.80841E+01  2.45259E+02  1.59178E+01
  2.83333E+01  2.48453E+02  1.60213E+01
  2.85825E+01  2.35362E+02  1.56003E+01
  2.88316E+01  2.54537E+02  1.62167E+01
  2.90808E+01  2.44365E+02  1.58948E+01
  2.93300E+01  2.56344E+02  1.62763E+01
  2.95792E+01  2.37814E+02  1.56858E+01
  2.98284E+01  2.45060E+02  1.59213E+01
  3.00776E+01  2.65279E+02  1.65585E+01
  3.03267E+01  2.42339E+02  1.58365E+01
  3.05759E+01  2.47119E+02  1.59914E+01
  3.08251E+01  2.46932E+02  1.59868E+01
  3.10743E+01  2.15821E+02  1.49606E+01
  3.13235E+01  2.27461E+02  1.53545E+01
  3.15727E+01  2.35726E+02  1.56286E+01
  3.18218E+01  2.04055E+02  1.45569E+01
  3.20710E+01  1.97830E+02  1.43379E+01
  3.23202E+01  2.01316E+02  1.44629E+01
  3.25694E+01  1.93584E+02  1.41881E+01
  3.28186E+01  1.79156E+02  1.36590E+01
  3.30678E+01  1.81843E+02  1.37606E+01
  3.33169E+01  1.92606E+02  1.41565E+01
  3.35661E+01  1.78558E+02  1.36401E+01
