Date of conversion : 10/30/16,Time of conversion : 15:29:20 -07:00
Fit function for dominant peak from file "mono.res",asymmetry factor :  1.00
,detailed imbalance,Chi^2,peak,FWHM,position,%background,input file
  ,ok,   1.62,3.35E+03,  0.99,  -0.221,   2.01,   scan112.raw
  ,??,   1.48,3.01E+03,  0.92,  -4.540,   2.37,   scan115.raw
  ,ok,   1.20,1.59E+03,  1.00,   0.674,   2.64,   scan118.raw
  , ?,   3.39,1.60E+03,  1.03,   0.669,   2.36,   scan119.raw

PHOENIX module padd; 10/30/16 at 15:29:20 -07:00
energy (meV),counts,error of counts
 6.78612E-01, 2.74547E+03, 4.36906E+01
 9.77651E-01, 1.13379E+03, 3.08170E+01
 1.27669E+00, 7.04947E+02, 2.50576E+01
 1.57573E+00, 4.82581E+02, 2.05380E+01
 1.87477E+00, 3.92508E+02, 1.97201E+01
 2.17381E+00, 3.65770E+02, 1.88244E+01
 2.47285E+00, 3.27978E+02, 1.79019E+01
 2.77189E+00, 3.25632E+02, 1.80710E+01
 3.07092E+00, 3.04972E+02, 1.72153E+01
 3.36996E+00, 2.65788E+02, 1.61546E+01
 3.66900E+00, 2.46161E+02, 1.58865E+01
 3.96804E+00, 2.52573E+02, 1.58822E+01
 4.26708E+00, 2.67939E+02, 1.65010E+01
 4.56612E+00, 2.58728E+02, 1.58809E+01
 4.86516E+00, 2.45663E+02, 1.57934E+01
 5.16420E+00, 2.46985E+02, 1.62425E+01
 5.46324E+00, 2.42811E+02, 1.52553E+01
 5.76228E+00, 2.46582E+02, 1.59400E+01
 6.06132E+00, 2.49252E+02, 1.59993E+01
 6.36035E+00, 2.37057E+02, 1.52427E+01
 6.65939E+00, 2.44253E+02, 1.54867E+01
 6.95843E+00, 2.51507E+02, 1.63695E+01
 7.25747E+00, 2.68397E+02, 1.65961E+01
 7.55651E+00, 2.70372E+02, 1.69474E+01
 7.85555E+00, 2.69602E+02, 1.64084E+01
 8.15459E+00, 2.73235E+02, 1.65800E+01
