PHOENIX module padd; 10/30/16 at 15:29:20 -07:00
energy (meV),shifted spectra
 2.16113E+01, 1.90806E+02
 2.19104E+01, 1.90754E+02
 2.22094E+01, 1.88001E+02
 2.25085E+01, 1.76089E+02
 2.28075E+01, 1.82902E+02
 2.31065E+01, 1.95194E+02
 2.34056E+01, 1.89504E+02
 2.37046E+01, 1.62976E+02
 2.40037E+01, 1.47190E+02
 2.43027E+01, 1.43964E+02
 2.46017E+01, 1.41033E+02
 2.49008E+01, 1.44968E+02
 2.51998E+01, 1.39824E+02
 2.54989E+01, 1.55618E+02
 2.57979E+01, 1.41441E+02
 2.60969E+01, 1.53393E+02
 2.63960E+01, 1.59414E+02
 2.66950E+01, 1.46688E+02
 2.69940E+01, 1.48908E+02
 2.72931E+01, 1.49705E+02
 2.75921E+01, 1.38873E+02
 2.78912E+01, 1.51979E+02
 2.81902E+01, 1.45934E+02
 2.84892E+01, 1.30165E+02
 2.87883E+01, 1.29313E+02
 2.90873E+01, 1.25170E+02
 2.93864E+01, 1.23340E+02
 2.96854E+01, 1.15867E+02
 2.99844E+01, 1.09010E+02
 3.02835E+01, 9.90429E+01
 3.05825E+01, 9.85988E+01
 3.08816E+01, 1.12712E+02
 3.11806E+01, 9.43741E+01
 3.14796E+01, 8.44735E+01
 3.17787E+01, 8.85974E+01
 3.20777E+01, 7.80479E+01
 3.23768E+01, 7.64876E+01
 3.26758E+01, 8.52403E+01
 3.29748E+01, 8.49695E+01
 3.32739E+01, 8.15822E+01
 3.35729E+01, 9.30528E+01
 3.38719E+01, 1.02529E+02
 3.41710E+01, 1.04567E+02
 3.44700E+01, 1.10179E+02
 3.47691E+01, 1.30473E+02
 3.50681E+01, 1.53188E+02
 3.53671E+01, 1.58962E+02
 3.56662E+01, 1.38621E+02
 3.59652E+01, 1.18397E+02
 3.62643E+01, 1.17810E+02
 3.65633E+01, 1.07638E+02
 3.68623E+01, 8.68191E+01
 3.71614E+01, 6.85956E+01
 3.74604E+01, 6.13202E+01
 3.77595E+01, 4.94347E+01
 3.80585E+01, 4.29293E+01
 3.83575E+01, 4.18006E+01
 3.86566E+01, 3.07824E+01
 3.89556E+01, 1.59577E+01
 3.92546E+01, 1.52966E+01
 3.95537E+01, 1.22072E+01
 3.98527E+01, 1.51309E+01
 4.01518E+01, 1.56636E+01
 4.04508E+01, 1.64542E+01
 4.07498E+01, 1.65610E+01
 4.10489E+01, 1.27733E+01
 4.13479E+01, 1.36041E+01
 4.16470E+01, 1.73241E+01
 4.19460E+01, 1.51739E+01
 4.22450E+01, 1.13041E+01
 4.25441E+01, 1.30606E+01
 4.28431E+01, 9.92669E+00
 4.31422E+01, 9.04484E+00
 4.34412E+01, 9.20295E+00
 4.37402E+01, 1.08621E+01
 4.40393E+01, 9.56357E+00
 4.43383E+01, 1.11007E+01
 4.46374E+01, 1.27391E+01
 4.49364E+01, 1.08450E+01
 4.52354E+01, 1.19277E+01
 4.55345E+01, 7.28047E+00
 4.58335E+01, 5.00625E+00
 4.61325E+01, 7.82066E+00
 4.64316E+01, 8.82132E+00
 4.67306E+01, 6.36468E+00
 4.70297E+01, 5.28774E+00
 4.73287E+01, 5.33258E+00
 4.76277E+01, 1.13947E+01
 4.79268E+01, 1.65412E+01
 4.82258E+01, 1.00965E+01
 4.85249E+01, 7.90884E+00
 4.88239E+01, 1.08402E+01
 4.91229E+01, 1.41437E+01
