PHOENIX module padd; 10/30/16 at 15:29:20 -07:00
energy (meV),monitor function
-5.17544E-01, 5.12504E+07
-2.18505E-01, 5.11026E+07
 8.05343E-02, 5.09163E+07
 3.79573E-01, 5.10947E+07
 6.78612E-01, 5.11263E+07
 9.77651E-01, 5.09334E+07
 1.27669E+00, 5.09681E+07
 1.57573E+00, 5.10951E+07
 1.87477E+00, 5.10908E+07
 2.17381E+00, 5.07462E+07
 2.47285E+00, 5.06539E+07
 2.77189E+00, 5.08866E+07
 3.07092E+00, 5.09562E+07
 3.36996E+00, 5.09042E+07
 3.66900E+00, 5.09517E+07
 3.96804E+00, 5.10057E+07
 4.26708E+00, 5.08536E+07
 4.56612E+00, 5.08605E+07
 4.86516E+00, 5.09015E+07
 5.16420E+00, 5.09009E+07
 5.46324E+00, 5.09638E+07
 5.76228E+00, 5.09965E+07
 6.06132E+00, 5.08814E+07
 6.36035E+00, 5.09869E+07
 6.65939E+00, 5.10669E+07
 6.95843E+00, 5.10445E+07
 7.25747E+00, 5.09464E+07
 7.55651E+00, 5.08117E+07
 7.85555E+00, 5.11045E+07
 8.15459E+00, 5.11137E+07
 8.45363E+00, 5.09872E+07
 8.75267E+00, 5.09985E+07
 9.05171E+00, 5.10821E+07
 9.35074E+00, 5.11516E+07
 9.64978E+00, 5.11126E+07
 9.94882E+00, 5.09314E+07
 1.02479E+01, 5.09001E+07
 1.05469E+01, 5.10185E+07
 1.08459E+01, 5.08282E+07
 1.11450E+01, 5.09455E+07
 1.14440E+01, 5.10770E+07
 1.17431E+01, 5.09802E+07
 1.20421E+01, 5.08655E+07
 1.23411E+01, 5.11164E+07
 1.26402E+01, 5.11250E+07
 1.29392E+01, 5.10576E+07
 1.32383E+01, 5.11042E+07
 1.35373E+01, 5.10028E+07
 1.38363E+01, 5.08226E+07
 1.41354E+01, 5.08575E+07
 1.44344E+01, 5.10249E+07
 1.47334E+01, 5.10675E+07
 1.50325E+01, 5.10042E+07
 1.53315E+01, 5.10464E+07
 1.56306E+01, 5.11460E+07
 1.59296E+01, 5.09936E+07
 1.62286E+01, 5.08215E+07
 1.65277E+01, 5.08323E+07
 1.68267E+01, 5.09780E+07
 1.71258E+01, 5.09698E+07
 1.74248E+01, 5.10521E+07
 1.77238E+01, 5.11155E+07
 1.80229E+01, 5.10326E+07
 1.83219E+01, 5.12424E+07
 1.86210E+01, 5.13366E+07
 1.89200E+01, 5.12529E+07
 1.92190E+01, 5.12780E+07
 1.95181E+01, 5.11504E+07
 1.98171E+01, 5.13692E+07
 2.01161E+01, 5.11873E+07
 2.04152E+01, 5.13085E+07
 2.07142E+01, 5.11630E+07
 2.10133E+01, 5.10971E+07
 2.13123E+01, 5.11266E+07
 2.16113E+01, 5.12035E+07
 2.19104E+01, 5.12782E+07
 2.22094E+01, 5.12151E+07
 2.25085E+01, 5.11243E+07
 2.28075E+01, 5.11683E+07
 2.31065E+01, 5.13347E+07
 2.34056E+01, 5.12825E+07
 2.37046E+01, 5.11647E+07
 2.40037E+01, 5.09752E+07
 2.43027E+01, 5.10375E+07
 2.46017E+01, 5.10921E+07
 2.49008E+01, 5.11620E+07
 2.51998E+01, 5.11715E+07
 2.54989E+01, 5.12558E+07
 2.57979E+01, 5.12696E+07
 2.60969E+01, 5.12489E+07
 2.63960E+01, 5.13752E+07
 2.66950E+01, 5.13082E+07
 2.69940E+01, 5.13122E+07
 2.72931E+01, 5.13566E+07
 2.75921E+01, 5.13410E+07
 2.78912E+01, 5.13259E+07
 2.81902E+01, 5.12845E+07
 2.84892E+01, 5.12706E+07
 2.87883E+01, 5.12845E+07
 2.90873E+01, 5.11325E+07
 2.93864E+01, 5.11342E+07
 2.96854E+01, 5.11493E+07
 2.99844E+01, 5.10358E+07
 3.02835E+01, 5.11007E+07
 3.05825E+01, 5.12325E+07
 3.08816E+01, 5.13631E+07
 3.11806E+01, 5.13902E+07
 3.14796E+01, 5.11770E+07
 3.17787E+01, 5.11714E+07
 3.20777E+01, 5.11926E+07
 3.23768E+01, 5.11687E+07
 3.26758E+01, 5.11472E+07
 3.29748E+01, 5.11921E+07
 3.32739E+01, 5.11654E+07
 3.35729E+01, 5.10685E+07
 3.38719E+01, 5.10962E+07
 3.41710E+01, 5.11261E+07
 3.44700E+01, 5.12656E+07
 3.47691E+01, 5.14740E+07
 3.50681E+01, 5.13584E+07
 3.53671E+01, 5.13010E+07
 3.56662E+01, 5.13704E+07
 3.59652E+01, 5.14632E+07
 3.62643E+01, 5.15366E+07
 3.65633E+01, 5.13226E+07
 3.68623E+01, 5.12222E+07
 3.71614E+01, 5.12851E+07
 3.74604E+01, 5.12267E+07
 3.77595E+01, 5.14459E+07
 3.80585E+01, 5.14979E+07
 3.83575E+01, 5.12697E+07
 3.86566E+01, 5.12265E+07
 3.89556E+01, 5.13075E+07
 3.92546E+01, 5.13209E+07
 3.95537E+01, 5.13510E+07
 3.98527E+01, 5.12959E+07
 4.01518E+01, 5.13414E+07
 4.04508E+01, 5.14401E+07
 4.07498E+01, 5.11907E+07
 4.10489E+01, 5.11306E+07
 4.13479E+01, 5.14138E+07
 4.16470E+01, 5.15069E+07
 4.19460E+01, 5.13697E+07
 4.22450E+01, 5.13137E+07
 4.25441E+01, 5.12711E+07
 4.28431E+01, 5.12401E+07
 4.31422E+01, 5.13084E+07
